Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01
UK_BH2_OCGT_2043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995	7.644080245	7.682300647	7.72071215	7.759315711	7.798112289	7.837102851	7.876288365
UK_BH2_OCGT_2044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995	7.644080245	7.682300647	7.72071215	7.759315711	7.798112289	7.837102851
UK_BH2_OCGT_2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995	7.644080245	7.682300647	7.72071215	7.759315711	7.798112289
UK_BH2_OCGT_2046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995	7.644080245	7.682300647	7.72071215	7.759315711
UK_BH2_OCGT_2047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995	7.644080245	7.682300647	7.72071215
UK_BH2_OCGT_2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995	7.644080245	7.682300647
UK_BH2_OCGT_2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995	7.644080245
UK_BH2_OCGT_2050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951	7.606049995
UK_BH2_OCGT_2051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617	7.568208951
UK_BH2_OCGT_2052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716	7.53055617
UK_BH2_OCGT_2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658	7.493090716
UK_BH2_OCGT_2054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068	7.455811658
UK_BH2_OCGT_2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023	7.418718068
UK_BH2_OCGT_2056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604	7.381809023
