Start Time	2022-01-01	2022-07-01	2023-07-01	2024-07-01	2025-07-01	2026-07-01	2027-07-01	2028-07-01	2029-07-01	2030-07-01	2031-07-01	2032-07-01	2033-07-01	2034-07-01	2035-07-01	2036-07-01	2037-07-01	2038-07-01	2039-07-01	2040-07-01	2041-07-01	2042-07-01	2043-07-01	2044-07-01	2045-07-01	2046-07-01	2047-07-01	2048-07-01	2049-07-01	2050-07-01	2051-07-01	2052-07-01	2053-07-01	2054-07-01	2055-07-01	2056-07-01	2057-07-01	2058-07-01	2059-07-01	2060-07-01	2061-07-01	2062-07-01	2063-07-01	2064-07-01	2065-07-01	2066-07-01	2067-07-01	2068-07-01	2069-07-01
End Time	2022-07-01	2023-07-01	2024-07-01	2025-07-01	2026-07-01	2027-07-01	2028-07-01	2029-07-01	2030-07-01	2031-07-01	2032-07-01	2033-07-01	2034-07-01	2035-07-01	2036-07-01	2037-07-01	2038-07-01	2039-07-01	2040-07-01	2041-07-01	2042-07-01	2043-07-01	2044-07-01	2045-07-01	2046-07-01	2047-07-01	2048-07-01	2049-07-01	2050-07-01	2051-07-01	2052-07-01	2053-07-01	2054-07-01	2055-07-01	2056-07-01	2057-07-01	2058-07-01	2059-07-01	2060-07-01	2061-07-01	2062-07-01	2063-07-01	2064-07-01	2065-07-01	2066-07-01	2067-07-01	2068-07-01	2069-07-01	2070-07-01
ETS EUA	76000	76.15	74	71.477656	77.698022	86.972021	99.412752	109.478435	114.79402	118.639337	124.288212	129.937087	135.585962	141.234837	146.883711	152.532586	158.181461	163.830336	169.479211	175.128086	178.854215	183.511877	187.238007	191.895668	194.690265	199.347927	204.005589	207.731719	212.389381	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	185.22	275.464383	275.464383	275.464383	275.464383	275.464383	275.464383	275.464383	275.464383
NBP Gas	19166.66667	12.44184144	12.44184144	7.397199484	7.650374581	10.8379908	9.236779247	7.69326216	7.564852286	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169
TTF Gas	19166.66667	12.44184144	12.44184144	7.397199484	7.650374581	10.8379908	9.236779247	7.69326216	7.564852286	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.471323204	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169	7.428446169
Europe BH2	19166.66667	12.44184144	24.88368288	34.61538462	34.61538462	30	23.07692308	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076	20.76923076
UK Carbon	76000	76.15	74	71.477656	77.698022	86.972021	99.412752	109.478435	114.79402	118.639337	124.288212	129.937087	135.585962	141.234837	146.883711	152.532586	158.181461	163.830336	169.479211	175.128086	178.854215	183.511877	187.238007	191.895668	194.690265	199.347927	204.005589	207.731719	212.389381	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	217.047042	185.22	275.464383	275.464383	275.464383	275.464383	275.464383	275.464383	275.464383	275.464383
