Object_Name	Object_Type
ES Offshore 1434 44.0 -4.375 160M Generator NWST	Generator
ES Offshore 1434 44.0 -4.375 160M Generator NWST Hub Height	Variable
ES Offshore 1434 44.0 -4.375 160M Generator NWST CRF	Variable
ES Offshore 1434 44.0 -4.375 160M Generator HWST	Generator
ES Offshore 1434 44.0 -4.375 160M Generator HWST Hub Height	Variable
ES Offshore 1434 44.0 -4.375 160M Generator HWST CRF	Variable
ES Offshore 1434 44.0 -4.375 160M Windspeed	Variable
ES Offshore 1434 44.0 -4.375 160M HHxWS	Variable
ES Offshore 1434 44.0 -4.375 160M HHxWSc	Variable
ES Offshore 1434 44.0 -4.375 160M HHc	Variable
ES Offshore 1434 44.0 -4.375 160M WSc	Variable
ES Offshore 1434 44.0 -4.375 160M HHxWSc+HHc	Variable
ES Offshore 1434 44.0 -4.375 160M HHxWSc+HHc+WSc	Variable
ES Offshore 1434 44.0 -4.375 160M HHxWSc+HHc+WSc+C	Variable
ES Offshore 1434 44.0 -4.375 Windspeed	Variable
ES Offshore 1434 44.0 -4.375 File	DataSource
ES Offshore 1434 44.0 -4.375 TS	DBTimeSeries
ES Offshore 1516 44.5 -8.75 WSc	Variable
ES Offshore 1516 44.5 -8.75 Base Wind Speed	Variable
ES Offshore 1516 44.5 -8.75 100M Generator LWST	Generator
ES Offshore 1516 44.5 -8.75 100M Generator LWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 100M Generator LWST CRF	Variable
ES Offshore 1516 44.5 -8.75 100M Generator NWST	Generator
ES Offshore 1516 44.5 -8.75 100M Generator NWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 100M Generator NWST CRF	Variable
ES Offshore 1516 44.5 -8.75 100M Generator HWST	Generator
ES Offshore 1516 44.5 -8.75 100M Generator HWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 100M Generator HWST CRF	Variable
ES Offshore 1516 44.5 -8.75 100M Windspeed	Variable
ES Offshore 1516 44.5 -8.75 100M HHxWS	Variable
ES Offshore 1516 44.5 -8.75 100M HHxWSc	Variable
ES Offshore 1516 44.5 -8.75 100M HHc	Variable
ES Offshore 1516 44.5 -8.75 100M WSc	Variable
ES Offshore 1516 44.5 -8.75 100M HHxWSc+HHc	Variable
ES Offshore 1516 44.5 -8.75 100M HHxWSc+HHc+WSc	Variable
ES Offshore 1516 44.5 -8.75 100M HHxWSc+HHc+WSc+C	Variable
ES Offshore 1516 44.5 -8.75 130M Generator LWST	Generator
ES Offshore 1516 44.5 -8.75 130M Generator LWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 130M Generator LWST CRF	Variable
ES Offshore 1516 44.5 -8.75 130M Generator NWST	Generator
ES Offshore 1516 44.5 -8.75 130M Generator NWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 130M Generator NWST CRF	Variable
ES Offshore 1516 44.5 -8.75 130M Generator HWST	Generator
ES Offshore 1516 44.5 -8.75 130M Generator HWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 130M Generator HWST CRF	Variable
ES Offshore 1516 44.5 -8.75 130M Windspeed	Variable
ES Offshore 1516 44.5 -8.75 130M HHxWS	Variable
ES Offshore 1516 44.5 -8.75 130M HHxWSc	Variable
ES Offshore 1516 44.5 -8.75 130M HHc	Variable
ES Offshore 1516 44.5 -8.75 130M WSc	Variable
ES Offshore 1516 44.5 -8.75 130M HHxWSc+HHc	Variable
ES Offshore 1516 44.5 -8.75 130M HHxWSc+HHc+WSc	Variable
ES Offshore 1516 44.5 -8.75 130M HHxWSc+HHc+WSc+C	Variable
ES Offshore 1516 44.5 -8.75 160M Generator LWST	Generator
ES Offshore 1516 44.5 -8.75 160M Generator LWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 160M Generator LWST CRF	Variable
ES Offshore 1516 44.5 -8.75 160M Generator NWST	Generator
ES Offshore 1516 44.5 -8.75 160M Generator NWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 160M Generator NWST CRF	Variable
ES Offshore 1516 44.5 -8.75 160M Generator HWST	Generator
ES Offshore 1516 44.5 -8.75 160M Generator HWST Hub Height	Variable
ES Offshore 1516 44.5 -8.75 160M Generator HWST CRF	Variable
ES Offshore 1516 44.5 -8.75 160M Windspeed	Variable
ES Offshore 1516 44.5 -8.75 160M HHxWS	Variable
ES Offshore 1516 44.5 -8.75 160M HHxWSc	Variable
ES Offshore 1516 44.5 -8.75 160M HHc	Variable
ES Offshore 1516 44.5 -8.75 160M WSc	Variable
ES Offshore 1516 44.5 -8.75 160M HHxWSc+HHc	Variable
ES Offshore 1516 44.5 -8.75 160M HHxWSc+HHc+WSc	Variable
ES Offshore 1516 44.5 -8.75 160M HHxWSc+HHc+WSc+C	Variable
ES Offshore 1516 44.5 -8.75 Windspeed	Variable
ES Offshore 1516 44.5 -8.75 File	DataSource
ES Offshore 1516 44.5 -8.75 TS	DBTimeSeries
ES Offshore 193 37.0 -1.25 WSc	Variable
ES Offshore 193 37.0 -1.25 Base Wind Speed	Variable
ES Offshore 193 37.0 -1.25 100M Generator LWST	Generator
ES Offshore 193 37.0 -1.25 100M Generator LWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 100M Generator LWST CRF	Variable
ES Offshore 193 37.0 -1.25 100M Generator NWST	Generator
ES Offshore 193 37.0 -1.25 100M Generator NWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 100M Generator NWST CRF	Variable
ES Offshore 193 37.0 -1.25 100M Generator HWST	Generator
ES Offshore 193 37.0 -1.25 100M Generator HWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 100M Generator HWST CRF	Variable
ES Offshore 193 37.0 -1.25 100M Windspeed	Variable
ES Offshore 193 37.0 -1.25 100M HHxWS	Variable
ES Offshore 193 37.0 -1.25 100M HHxWSc	Variable
ES Offshore 193 37.0 -1.25 100M HHc	Variable
ES Offshore 193 37.0 -1.25 100M WSc	Variable
ES Offshore 193 37.0 -1.25 100M HHxWSc+HHc	Variable
ES Offshore 193 37.0 -1.25 100M HHxWSc+HHc+WSc	Variable
ES Offshore 193 37.0 -1.25 100M HHxWSc+HHc+WSc+C	Variable
ES Offshore 193 37.0 -1.25 130M Generator LWST	Generator
ES Offshore 193 37.0 -1.25 130M Generator LWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 130M Generator LWST CRF	Variable
ES Offshore 193 37.0 -1.25 130M Generator NWST	Generator
ES Offshore 193 37.0 -1.25 130M Generator NWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 130M Generator NWST CRF	Variable
ES Offshore 193 37.0 -1.25 130M Generator HWST	Generator
ES Offshore 193 37.0 -1.25 130M Generator HWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 130M Generator HWST CRF	Variable
ES Offshore 193 37.0 -1.25 130M Windspeed	Variable
ES Offshore 193 37.0 -1.25 130M HHxWS	Variable
ES Offshore 193 37.0 -1.25 130M HHxWSc	Variable
ES Offshore 193 37.0 -1.25 130M HHc	Variable
ES Offshore 193 37.0 -1.25 130M WSc	Variable
ES Offshore 193 37.0 -1.25 130M HHxWSc+HHc	Variable
