Object_Name	Object_Type
ES Onshore 1082 42.0 -1.875 80M HHxWSc+HHc+WSc	Variable
ES Onshore 1082 42.0 -1.875 80M HHxWSc+HHc+WSc+C	Variable
ES RWE Matabuey	Generator
ES Onshore 899 41.0 -5.0 80M Windspeed	Variable
ES Onshore 899 41.0 -5.0 80M HHxWS	Variable
ES Onshore 899 41.0 -5.0 80M HHxWSc	Variable
ES Onshore 899 41.0 -5.0 80M HHc	Variable
ES Onshore 899 41.0 -5.0 80M WSc	Variable
ES Onshore 899 41.0 -5.0 80M HHxWSc+HHc	Variable
ES Onshore 899 41.0 -5.0 80M HHxWSc+HHc+WSc	Variable
ES Onshore 899 41.0 -5.0 80M HHxWSc+HHc+WSc+C	Variable
ES RWE Mingorrubio I	Generator
ES Onshore 458 38.5 -2.5 80M Windspeed	Variable
ES Onshore 458 38.5 -2.5 80M HHxWS	Variable
ES Onshore 458 38.5 -2.5 80M HHxWSc	Variable
ES Onshore 458 38.5 -2.5 80M HHc	Variable
ES Onshore 458 38.5 -2.5 80M WSc	Variable
ES Onshore 458 38.5 -2.5 80M HHxWSc+HHc	Variable
ES Onshore 458 38.5 -2.5 80M HHxWSc+HHc+WSc	Variable
ES Onshore 458 38.5 -2.5 80M HHxWSc+HHc+WSc+C	Variable
ES RWE Mingorrubio II	Generator
ES RWE Paramo de Poza I	Generator
ES Onshore 1258 43.0 -3.125 55M Windspeed	Variable
ES Onshore 1258 43.0 -3.125 55M HHxWS	Variable
ES Onshore 1258 43.0 -3.125 55M HHxWSc	Variable
ES Onshore 1258 43.0 -3.125 55M HHc	Variable
ES Onshore 1258 43.0 -3.125 55M WSc	Variable
ES Onshore 1258 43.0 -3.125 55M HHxWSc+HHc	Variable
ES Onshore 1258 43.0 -3.125 55M HHxWSc+HHc+WSc	Variable
ES Onshore 1258 43.0 -3.125 55M HHxWSc+HHc+WSc+C	Variable
ES RWE Paramo de Poza II	Generator
ES RWE Paxareiras I	Generator
ES Onshore 1250 43.0 -8.125 35M Windspeed	Variable
ES Onshore 1250 43.0 -8.125 35M HHxWS	Variable
ES Onshore 1250 43.0 -8.125 35M HHxWSc	Variable
ES Onshore 1250 43.0 -8.125 35M HHc	Variable
ES Onshore 1250 43.0 -8.125 35M WSc	Variable
